textbox22
generated on 06/05/2021 00:37:45 UTC

HEMISPHERELONG,CONTINENT,WHOREGION,FLULONG,Country,Year,Week,SDATE,EDATE,AGEGROUP_CODE,ILI_CASES,ILI_OUTPATIENTS,ILI_POP_COV,ILI_OUT_RATE,ILI_POP_RATE,ILI_SAMPLED,ILI_INF_POS,ILI_INF_NEG,ILI_COVID19_TESTED,ILI_COVID19_POS,ILI_COVID19_NEG,ILI_COVID19_RATIO,SARI_CASES,SARI_INPATIENTS,SARI_POP_COV,SARI_IN_RATE,SARI_POP_RATE,SARI_SAMPLED,SARI_INF_POS,SARI_INF_NEG,SARI_COVID19_TESTED,SARI_COVID19_POS,SARI_COVID19_NEG,SARI_COVID19_RATIO,ARI_CASES,ARI_OUTPATIENTS,ARI_POP_COV,ARI_OUT_RATE,ARI_POP_RATE,PNEU_CASES,PNEU_INPATIENTS,PNEU_POP_COV,PNEU_IN_RATE,PNEU_POP_RATE,GEOSPREAD,INTENSITY,TREND,IMPACT
Northern hemishere,Europe,EUR,Eastern Europe,Russian Federation,2020,45,2020-11-02,2020-11-08,All,7,,54092799,,0.01,,,,,,,,72,1998,,3.60,,24,,,49,5,,,380435,,54092799,,703.30,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2020,45,2020-11-02,2020-11-08,All,136,,146301,,92.96,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,South West Europe,Germany,2020,45,2020-11-02,2020-11-08,All,,,,,,,,,,,,,,,,,,,,,,,,,14533,,1294211,,1122.92,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Czechia,2020,45,2020-11-02,2020-11-08,All,672,,5150658,,13.05,,,,,,,,,,,,,,,,,,,,24548,,5150658,,476.60,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Lithuania,2020,45,2020-11-02,2020-11-08,All,11,,2794207,,0.39,,,,,,,,,,,,,,,,,,,,8784,,2794207,,314.36,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,North Macedonia,2020,45,2020-11-02,2020-11-08,All,23,,2075301,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Luxembourg,2020,45,2020-11-02,2020-11-08,All,2,222,,9.01,,,,,,,,,,,,,,,,,,,,,39,222,,175.68,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Latvia,2020,45,2020-11-02,2020-11-08,All,1,,92025,,1.09,,,,,,,,,,,,,,,,,,,,812,,92025,,882.37,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Malta,2020,45,2020-11-02,2020-11-08,All,36,684,,52.63,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Republic of Moldova,2020,45,2020-11-02,2020-11-08,All,0,,397471,,0.00,,,,,,,,52,2240,980875,2.32,5.30,5,,,5,2,,,339,,397471,,85.29,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2020,45,2020-11-02,2020-11-08,All,6403,,7258753,,88.21,,,,,,,,9,692,,1.30,,0,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Eastern Europe,Slovakia,2020,45,2020-11-02,2020-11-08,All,946,,2031223,,46.57,,,,,,,,,,,,,,,,,,,,12919,,2031223,,636.02,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Slovenia,2020,45,2020-11-02,2020-11-08,All,0,,62522,,0.00,,,,,,,,,,,,,,,,,,,,335,,62522,,535.81,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2020,45,2020-11-02,2020-11-08,All,32956,,64812052,,50.85,,,,,,,,,,,,,,,,,,,,94838,,64812052,,146.33,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Spain,2020,45,2020-11-02,2020-11-08,All,,,,,,,,,,,,,,,,,,,,,,,,,335,,123072,,272.20,,,,,,,0,,0
Northern hemishere,Europe,EUR,Northern Europe,Estonia,2020,45,2020-11-02,2020-11-08,All,85,,174568,,48.69,,,,,,,,,,,,,,,,,,,,2892,,1328976,,217.61,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2020,45,2020-11-02,2020-11-08,All,27,,155325,,17.38,,,,,,,,,,,,,,,,,,,,2695,,1380903,,195.16,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Ukraine,2020,45,2020-11-02,2020-11-08,All,12,,39140,,30.66,,,,,,,,19,543,0,3.50,,0,,,0,0,,,164570,,37995277,,433.13,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Albania,2020,45,2020-11-02,2020-11-08,All,0,,,,,,,,,,,,298,,2800138,,10.64,298,,,298,213,,,8940,,2800138,,319.27,,,,,,1,,3,
Northern hemishere,Europe,EUR,Western Asia,Azerbaijan,2020,45,2020-11-02,2020-11-08,All,46,,3172,,1450.19,,,,,,,,3,201,0,1.49,,0,,,,,,,,,,,,,,,,,2,1,1,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2020,45,2020-11-02,2020-11-08,All,158,,63349,,249.41,,,,,,,,,,,,,,,,,,,,465,,63349,,734.03,,,,,,1,,2,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2020,45,2020-11-02,2020-11-08,All,0,,175109,,0.00,,,,,,,,103,419,0,24.58,,12,,,12,12,,,2884,,2972732,,97.02,,,,,,1,1,1,
Northern hemishere,Europe,EUR,South West Europe,Austria,2020,45,2020-11-02,2020-11-08,All,209,,20622,,1013.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2020,45,2020-11-02,2020-11-08,All,150,,57702,,259.96,,,,,,,,123,430,,28.60,,2,,,2,,,,,,,,,,,,,,1,,3,2
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2020,45,2020-11-02,2020-11-08,All,2054,,2035348,,100.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2020,45,2020-11-02,2020-11-08,All,47,,279340,,16.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Northern hemishere,Europe,EUR,South West Europe,Greece,2020,45,2020-11-02,2020-11-08,All,70,,68223,,102.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Croatia,2020,45,2020-11-02,2020-11-08,All,0,,4124531,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Norway,2020,45,2020-11-02,2020-11-08,All,579,,5528319,,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Portugal,2020,45,2020-11-02,2020-11-08,All,0,,14103,,0.00,,,,,,,,,,,,,,,,,,,,0,,14103,,0.00,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2020,45,2020-11-02,2020-11-08,All,1798,,984777,,182.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Kosovo (in accordance with Security Council resolution 1244 (1999)),2020,45,2020-11-02,2020-11-08,All,254,,1827231,,13.90,,,,,,,,,,,,,,,,,,,,61,,1827231,,3.34,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Bosnia and Herzegovina,2020,44,2020-10-26,2020-11-01,All,,,,,,,,,,,,,16,281,,5.69,,16,,,,,,,,,,,,,,,,,1,,2,1
Northern hemishere,Europe,EUR,Eastern Europe,Belarus,2020,44,2020-10-26,2020-11-01,All,20,,714653,,2.80,,,,,,,,27,4592,0,0.59,,27,,,27,2,,,69901,,5489933,,1273.26,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Switzerland,2020,44,2020-10-26,2020-11-01,All,225,,180327,,124.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Northern hemishere,Europe,EUR,South West Europe,Italy,2020,44,2020-10-26,2020-11-01,All,2898,,1494854,,193.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Romania,2020,44,2020-10-26,2020-11-01,All,5,,289174,,1.73,,,,,,,,,,,,,,,,,,,,1875,,289174,,648.40,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Russian Federation,2020,44,2020-10-26,2020-11-01,All,8,,54092628,,0.01,,,,,,,,172,1934,,8.89,,23,,,23,10,,,427222,,54092628,,789.80,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2020,44,2020-10-26,2020-11-01,All,5136,,7258753,,70.76,,,,,,,,10,805,,1.24,,1,,,,,,,,,,,,,,,,,1,1,3,1
Northern hemishere,Europe,EUR,Eastern Europe,Czechia,2020,44,2020-10-26,2020-11-01,All,542,,5135095,,10.55,,,,,,,,,,,,,,,,,,,,24180,,5135095,,470.88,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2020,44,2020-10-26,2020-11-01,All,,,,,,,,,,,,,,,,,,,,,,,,,15517,,1276069,,1216.00,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2020,44,2020-10-26,2020-11-01,All,121,,141138,,85.73,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,South West Europe,Luxembourg,2020,44,2020-10-26,2020-11-01,All,6,289,,20.76,,,,,,,,,,,,,,,,,,,,,63,289,,217.99,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Latvia,2020,44,2020-10-26,2020-11-01,All,4,,89374,,4.48,,,,,,,,,,,,,,,,,,,,798,,89374,,892.88,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Republic of Moldova,2020,44,2020-10-26,2020-11-01,All,0,,397498,,0.00,,,,,,,,48,2284,980875,2.10,4.89,8,,,8,2,,,415,,397498,,104.40,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Lithuania,2020,44,2020-10-26,2020-11-01,All,17,,2794207,,0.61,,,,,,,,,,,,,,,,,,,,8390,,2794207,,300.26,,,,,,1,,1,
Northern hemishere,Europe,EUR,South West Europe,North Macedonia,2020,44,2020-10-26,2020-11-01,All,29,,2075301,,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Malta,2020,44,2020-10-26,2020-11-01,All,32,653,,49.00,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Slovenia,2020,44,2020-10-26,2020-11-01,All,0,,60429,,0.00,,,,,,,,,,,,,,,,,,,,356,,60429,,589.12,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Slovakia,2020,44,2020-10-26,2020-11-01,All,802,,1928535,,41.59,,,,,,,,,,,,,,,,,,,,14159,,1928535,,734.18,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Spain,2020,44,2020-10-26,2020-11-01,All,,,,,,,,,,,,,,,,,,,,,,,,,391,,120316,,324.98,,,,,,,0,,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2020,44,2020-10-26,2020-11-01,All,108,,52824,,204.45,,,,,,,,76,388,,19.59,,5,,,5,,,,,,,,,,,,,,1,,3,2
Northern hemishere,Europe,EUR,Northern Europe,Estonia,2020,44,2020-10-26,2020-11-01,All,81,,174568,,46.40,,,,,,,,,,,,,,,,,,,,2788,,1328976,,209.79,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2020,44,2020-10-26,2020-11-01,All,34572,,64812052,,53.34,,,,,,,,,,,,,,,,,,,,106153,,64812052,,163.79,,,,,,,0,,0
Northern hemishere,Europe,EUR,South West Europe,Montenegro,2020,44,2020-10-26,2020-11-01,All,1,,620029,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Norway,2020,44,2020-10-26,2020-11-01,All,586,,5502616,,10.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Ukraine,2020,44,2020-10-26,2020-11-01,All,24,,39140,,61.32,,,,,,,,25,635,0,3.94,,5,,,5,4,,,157980,,37995277,,415.79,,,,,,1,,2,
Northern hemishere,Europe,EUR,Western Asia,Armenia,2020,44,2020-10-26,2020-11-01,All,0,,175109,,0.00,,,,,,,,0,41,0,0.00,,0,,,0,0,,,3371,,2972732,,113.40,,,,,,1,1,3,
Northern hemishere,Europe,EUR,Eastern Europe,Bulgaria,2020,44,2020-10-26,2020-11-01,All,,,,,,,,,,,,,,,,,,,,,,,,,1732,,312484,,554.27,,,,,,1,,3,
Northern hemishere,Europe,EUR,South West Europe,Albania,2020,44,2020-10-26,2020-11-01,All,0,,,,,,,,,,,,225,225,2800138,100.00,8.04,225,,,225,171,,,8778,,2800138,,313.48,,,,,,1,,3,
Northern hemishere,Europe,EUR,South West Europe,Austria,2020,44,2020-10-26,2020-11-01,All,159,,24442,,650.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Western Asia,Azerbaijan,2020,44,2020-10-26,2020-11-01,All,60,,3108,,1930.50,,,,,,,,34,387,0,8.79,,0,,,,,,,,,,,,,,,,,2,1,3,1
Northern hemishere,Europe,EUR,South West Europe,Belgium,2020,44,2020-10-26,2020-11-01,All,296,,66282,,446.58,,,,,,,,,,,,,,,,,,,,713,,66282,,1075.71,,,,,,1,,2,1
Northern hemishere,Europe,EUR,South West Europe,Croatia,2020,44,2020-10-26,2020-11-01,All,0,,4124531,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Greece,2020,44,2020-10-26,2020-11-01,All,109,,85344,,127.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Hungary,2020,44,2020-10-26,2020-11-01,All,1709,,2058467,,83.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2020,44,2020-10-26,2020-11-01,All,47,,299434,,15.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2020,44,2020-10-26,2020-11-01,All,31,,155325,,19.96,,,,,,,,,,,,,,,,,,,,3083,,1395908,,220.86,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2020,44,2020-10-26,2020-11-01,All,1973,,995263,,198.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Portugal,2020,44,2020-10-26,2020-11-01,All,3,,12676,,23.67,,,,,,,,,,,,,,,,,,,,3,,12676,,23.67,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Kosovo (in accordance with Security Council resolution 1244 (1999)),2020,44,2020-10-26,2020-11-01,All,434,,1827231,,23.75,,,,,,,,,,,,,,,,,,,,51,,1827231,,2.79,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,Eastern Europe,Belarus,2020,43,2020-10-19,2020-10-25,All,23,,714653,,3.22,,,,,,,,33,4532,,0.73,,33,,,33,3,,,60596,,5489933,,1103.77,,,,,,1,,2,1
Northern hemishere,Europe,EUR,Eastern Europe,Bulgaria,2020,43,2020-10-19,2020-10-25,All,,,,,,,,,,,,,,,,,,,,,,,,,1798,,380577,,472.44,,,,,,1,,3,
Northern hemishere,Europe,EUR,South West Europe,Bosnia and Herzegovina,2020,43,2020-10-19,2020-10-25,All,,,,,,,,,,,,,0,352,,0.00,,0,,,,,,,,,,,,,,,,,1,,2,1
Northern hemishere,Europe,EUR,South West Europe,Switzerland,2020,43,2020-10-19,2020-10-25,All,190,,177401,,107.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Northern hemishere,Europe,EUR,South West Europe,Italy,2020,43,2020-10-19,2020-10-25,All,2525,,1456142,,173.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Russian Federation,2020,43,2020-10-19,2020-10-25,All,6,,54168275,,0.01,,,,,,,,71,1698,,4.18,,26,,,25,4,,,428915,,54168275,,791.82,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2020,43,2020-10-19,2020-10-25,All,3620,,7258753,,49.87,,,,,,,,9,719,,1.25,,2,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Romania,2020,43,2020-10-19,2020-10-25,All,2,,316351,,0.63,,,,,,,,,,,,,,,,,,,,2019,,316351,,638.22,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Czechia,2020,43,2020-10-19,2020-10-25,All,626,,5109064,,12.25,,,,,,,,,,,,,,,,,,,,27166,,5109064,,531.72,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2020,43,2020-10-19,2020-10-25,All,,,,,,,,,,,,,,,,,,,,,,,,,14546,,1277172,,1138.92,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2020,43,2020-10-19,2020-10-25,All,204,,142858,,142.80,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,South West Europe,North Macedonia,2020,43,2020-10-19,2020-10-25,All,30,,2075301,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Malta,2020,43,2020-10-19,2020-10-25,All,20,670,,29.85,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Montenegro,2020,43,2020-10-19,2020-10-25,All,2,,620029,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Lithuania,2020,43,2020-10-19,2020-10-25,All,7,,2794207,,0.25,,,,,,,,,,,,,,,,,,,,9049,,2794207,,323.85,,,,,,1,,3,
Northern hemishere,Europe,EUR,South West Europe,Luxembourg,2020,43,2020-10-19,2020-10-25,All,1,350,,2.86,,,,,,,,,,,,,,,,,,,,,41,350,,117.14,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Latvia,2020,43,2020-10-19,2020-10-25,All,1,,92025,,1.09,,,,,,,,,,,,,,,,,,,,827,,92025,,898.67,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Republic of Moldova,2020,43,2020-10-19,2020-10-25,All,0,,368342,,0.00,,,,,,,,46,2218,980875,2.07,4.69,4,,,4,2,,,312,,368342,,84.70,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Slovakia,2020,43,2020-10-19,2020-10-25,All,241,,1634063,,14.75,,,,,,,,,,,,,,,,,,,,6896,,1634063,,422.02,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Slovenia,2020,43,2020-10-19,2020-10-25,All,0,,59486,,0.00,,,,,,,,,,,,,,,,,,,,525,,59486,,882.56,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Spain,2020,43,2020-10-19,2020-10-25,All,,,,,,,,,,,,,,,,,,,,,,,,,347,,124380,,278.98,,,,,,,0,,0
Northern hemishere,Europe,EUR,Northern Europe,Estonia,2020,43,2020-10-19,2020-10-25,All,64,,174568,,36.66,,,,,,,,,,,,,,,,,,,,2358,,1328976,,177.43,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,France,2020,43,2020-10-19,2020-10-25,All,36994,,64812052,,57.08,,,,,,,,,,,,,,,,,,,,103830,,64812052,,160.20,,,,,,,0,,0
Northern hemishere,Europe,EUR,Western Asia,Georgia,2020,43,2020-10-19,2020-10-25,All,61,,46221,,131.97,,,,,,,,62,436,,14.22,,4,,,4,,,,,,,,,,,,,,1,,3,1
Northern hemishere,Europe,EUR,South West Europe,Netherlands,2020,43,2020-10-19,2020-10-25,All,42,,150739,,27.86,,,,,,,,,,,,,,,,,,,,3106,,1407675,,220.65,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Norway,2020,43,2020-10-19,2020-10-25,All,507,,5516614,,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Ukraine,2020,43,2020-10-19,2020-10-25,All,38,,39140,,97.09,,,,,,,,19,638,0,2.98,,6,,,,,,,163314,,37995277,,429.83,,,,,,1,,3,
Northern hemishere,Europe,EUR,Western Asia,Azerbaijan,2020,43,2020-10-19,2020-10-25,All,47,,3459,,1358.77,,,,,,,,0,131,0,0.00,,0,,,,,,,,,,,,,,,,,2,1,3,1
Northern hemishere,Europe,EUR,South West Europe,Austria,2020,43,2020-10-19,2020-10-25,All,150,,18713,,801.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Belgium,2020,43,2020-10-19,2020-10-25,All,302,,66285,,455.61,,,,,,,,,,,,,,,,,,,,839,,66285,,1265.75,,,,,,1,,2,1
Northern hemishere,Europe,EUR,Western Asia,Armenia,2020,43,2020-10-19,2020-10-25,All,0,,175109,,0.00,,,,,,,,15,214,0,7.01,,0,,,0,0,,,2234,,2972732,,75.15,,,,,,1,1,3,
Northern hemishere,Europe,EUR,South West Europe,Albania,2020,43,2020-10-19,2020-10-25,All,0,,,,,,,,,,,,182,121,2800138,150.41,6.50,121,,,182,136,,,8010,,2800138,,286.06,,,,,,1,,3,
Northern hemishere,Europe,EUR,South West Europe,Greece,2020,43,2020-10-19,2020-10-25,All,111,,64164,,172.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Croatia,2020,43,2020-10-19,2020-10-25,All,0,,4124531,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Ireland,2020,43,2020-10-19,2020-10-25,All,105,,297131,,35.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Northern hemishere,Europe,EUR,South West Europe,Portugal,2020,43,2020-10-19,2020-10-25,All,0,,13936,,0.00,,,,,,,,,,,,,,,,,,,,1,,13936,,7.18,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Poland,2020,43,2020-10-19,2020-10-25,All,1783,,943688,,188.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Kosovo (in accordance with Security Council resolution 1244 (1999)),2020,43,2020-10-19,2020-10-25,All,324,,1827231,,17.73,,,,,,,,,,,,,,,,,,,,31,,1827231,,1.70,,,,,,1,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Switzerland,2020,42,2020-10-12,2020-10-18,All,120,,174030,,68.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Northern hemishere,Europe,EUR,South West Europe,Bosnia and Herzegovina,2020,42,2020-10-12,2020-10-18,All,,,,,,,,,,,,,0,197,,0.00,,0,,,,,,,,,,,,,,,,,1,,2,1
Northern hemishere,Europe,EUR,Eastern Europe,Bulgaria,2020,42,2020-10-12,2020-10-18,All,,,,,,,,,,,,,,,,,,,,,,,,,1394,,380577,,366.29,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Belarus,2020,42,2020-10-12,2020-10-18,All,24,,714653,,3.36,,,,,,,,29,4222,,0.69,,29,,,29,3,,,49665,,5489933,,904.66,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Italy,2020,42,2020-10-12,2020-10-18,All,1900,,1446817,,131.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Romania,2020,42,2020-10-12,2020-10-18,All,2,,329676,,0.61,,,,,,,,,,,,,,,,,,,,2060,,329676,,624.86,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Russian Federation,2020,42,2020-10-12,2020-10-18,All,3,,54146970,,0.01,,,,,,,,45,2034,,2.21,,34,,,,,,,407886,,54146970,,753.29,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Germany,2020,42,2020-10-12,2020-10-18,All,,,,,,,,,,,,,,,,,,,,,,,,,12778,,1253974,,1019.00,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Eastern Europe,Czechia,2020,42,2020-10-12,2020-10-18,All,473,,5143716,,9.20,,,,,,,,,,,,,,,,,,,,25923,,5143716,,503.97,,,,,,1,,2,
Northern hemishere,Europe,EUR,Northern Europe,Denmark,2020,42,2020-10-12,2020-10-18,All,139,,104992,,132.39,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Lithuania,2020,42,2020-10-12,2020-10-18,All,6,,2794207,,0.21,,,,,,,,,,,,,,,,,,,,7567,,2794207,,270.81,,,,,,1,,3,
Northern hemishere,Europe,EUR,South West Europe,North Macedonia,2020,42,2020-10-12,2020-10-18,All,18,,2075301,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Luxembourg,2020,42,2020-10-12,2020-10-18,All,1,227,,4.41,,,,,,,,,,,,,,,,,,,,,45,227,,198.24,,,,,,,1,,2,0
Northern hemishere,Europe,EUR,Northern Europe,Latvia,2020,42,2020-10-12,2020-10-18,All,0,,88583,,0.00,,,,,,,,,,,,,,,,,,,,935,,88583,,1055.51,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Montenegro,2020,42,2020-10-12,2020-10-18,All,5,,620029,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Republic of Moldova,2020,42,2020-10-12,2020-10-18,All,0,,392510,,0.00,,,,,,,,55,2258,980875,2.44,5.61,4,,,4,2,,,286,,392510,,72.86,,,,,,1,,2,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2020,42,2020-10-12,2020-10-18,All,3085,,7258753,,42.50,,,,,,,,6,667,,0.90,,0,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Europe,EUR,Eastern Europe,Slovakia,2020,42,2020-10-12,2020-10-18,All,972,,2028895,,47.91,,,,,,,,,,,,,,,,,,,,18044,,2028895,,889.35,,,,,,2,1,2,1
Northern hemishere,Europe,EUR,South West Europe,Slovenia,2020,42,2020-10-12,2020-10-18,All,0,,62615,,0.00,,,,,,,,,,,,,,,,,,,,412,,62615,,657.99,,,,,,1,,2,0
Northern hemishere,Europe,EUR,South West Europe,Spain,2020,42,2020-10-12,2020-10-18,All,,,,,,,,,,,,,,,,,,,,,,,,,297,,117435,,252.91,,,,,,,0,,0
Northern hemishere,Europe,EUR,South West Europe,France,2020,42,2020-10-12,2020-10-18,All,30010,,64812052,,46.30,,,,,,,,,,,,,,,,,,,,96541,,64812052,,148.96,,,,,,,0,,0
Northern hemishere,Europe,EUR,Northern Europe,Estonia,2020,42,2020-10-12,2020-10-18,All,113,,174568,,64.73,,,,,,,,,,,,,,,,,,,,2697,,,,,,,,,,1,1,2,0
